Item ID,Item Description,Sales Price 1,Sales Price 9,Sales Price 10,UPC / SKU,Quantity On Hand
012110OR-L,Pumpkin Hat,4.95,0.00,0.00,,2.00
012110OR-M,Pumpkin Hat,4.95,0.00,0.00,,0.00
012110OR-S,Pumpkin Hat,4.95,0.00,0.00,,0.00
012110OR-XS,Pumpkin Hat,4.95,0.00,0.00,,20.00
012120RD-L,Santa Hat,5.50,0.00,0.00,,8.00
012120RD-M,Santa Hat,5.50,0.00,0.00,,0.00
012120RD-S,Santa Hat,5.50,0.00,0.00,,49.00
012120RD-XS,Santa Hat,5.50,0.00,0.00,,53.00
012130BN-L,Reindeer Hat,5.95,0.00,0.00,,0.00
012130BN-M,Reindeer Hat,5.95,0.00,0.00,,57.00
012130BN-S,Reindeer Hat,5.95,0.00,0.00,,61.00
012130BN-XS,Reindeer Hat,5.95,0.00,0.00,,83.00
012140BN-L,School Girl Hat,5.95,0.00,0.00,,0.00
012140BN-M,School Girl Hat,5.95,0.00,0.00,,21.00
012140BN-S,School Girl Hat,5.95,0.00,0.00,,16.00
012140BN-XS,School Girl Hat,5.95,0.00,0.00,,46.00
012160WT-L,Sweet Heart Hat,3.25,0.00,0.00,,50.00
012160WT-M,Sweet Heart Hat,3.25,0.00,0.00,,90.00
012160WT-S,Sweet Heart Hat,3.25,0.00,0.00,,91.00
012160WT-XS,Sweet Heart Hat,3.25,0.00,0.00,,104.00
012170RD-L,Crab Hat,6.95,0.00,0.00,,54.00
012170RD-M,Crab Hat,6.95,0.00,0.00,,89.00
012170RD-S,Crab Hat,6.95,0.00,0.00,,60.00
012170RD-XS,Crab Hat,6.95,0.00,0.00,,72.00
012180GRY-L,Donkey Hat,6.95,0.00,0.00,,19.00
012180GRY-M,Donkey Hat,6.95,0.00,0.00,,55.00
012180GRY-S,Donkey Hat,6.95,0.00,0.00,,54.00
012180GRY-XS,Donkey Hat,6.95,0.00,0.00,,34.00
012210BN-L,Bear Hat Brown,4.95,0.00,0.00,,41.00
012210BN-M,Bear Hat Brown,4.95,0.00,0.00,,42.00
012210BN-S,Bear Hat Brown,4.95,0.00,0.00,,58.00
012210BN-XS,Bear Hat Brown,4.95,0.00,0.00,,48.00
012211PK-XS,Bear Hat Pink,4.95,0.00,0.00,,23.00
012220WT-L,Rooster Hat,4.95,0.00,0.00,,0.00
012220WT-M,Rooster Hat,4.95,0.00,0.00,,15.00
012220WT-S,Rooster Hat,4.95,0.00,0.00,,17.00
012220WT-XS,Rooster Hat,4.95,0.00,0.00,,9.00
012230GN-L,Elf Hat,5.50,0.00,0.00,,1.00
012230GN-M,Elf Hat,5.50,0.00,0.00,,0.00
012230GN-S,Elf Hat,5.50,0.00,0.00,,25.00
012230GN-XS,Elf Hat,5.50,0.00,0.00,,0.00
021220BN,Burger Bed Brown,27.00,0.00,0.00,,0.00
021230PK,Burger Bed Pink,27.00,0.00,0.00,,27.00
021240GN,Burger Bed Green,27.00,0.00,0.00,,27.00
021240PK,Slipper Bed Pink,33.00,0.00,0.00,,45.00
021241BL,Slipper Bed Blue,33.00,0.00,0.00,,50.00
021410PK-M,iCool Mat Oval PK,14.99,0.00,0.00,,0.00
021410PK-S,iCool Mat Oval PK,11.99,0.00,0.00,,0.00
