Item ID,Item Description,Sales Price 1,UPC / SKU,Quantity On Hand
012110OR-L,Pumpkin Hat Orange L,4.95,,2
012110OR-M,Pumpkin Hat Orange M,4.95,,0
012110OR-S,Pumpkin Hat Orange S,4.95,,0
012110OR-XS,Pumpkin Hat Orange XS,4.95,6936939917130,20
012120RD-L,Santa Hat Red L,5.50,6936939917208,8
012120RD-M,Santa Hat Red M,5.50,,0
012120RD-S,Santa Hat Red S,5.50,6936939917185,48
012120RD-XS,Santa Hat Red XS,5.50,6936939917179,52
012130BN-L,Reindeer Hat Brown L,5.95,,0
012130BN-M,Reindeer Hat Brown M,5.95,6936939917239,56
012130BN-S,Reindeer Hat Brown S,5.95,6936939917222,60
012130BN-XS,Reindeer Hat Brown XS,5.95,6936939917215,83
012140BN-L,School Girl Hat Brown L,5.95,,0
012140BN-M,School Girl Hat Brown M,5.95,6936939914191,21
012140BN-S,School Girl Hat Brown S,5.95,6936939914184,16
012140BN-XS,School Girl Hat Brown XS,5.95,6936939914177,46
012160WT-L,Sweet Heart Hat White L,3.25,,50
012160WT-M,Sweet Heart Hat White M,3.25,,90
012160WT-S,Sweet Heart Hat White S,3.25,6936939914306,91
012160WT-XS,Sweet Heart Hat White XS,3.25,6936939914290,104
012170RD-L,Crab Hat Red L,6.95,6936939927429,53
012170RD-M,Crab Hat Red M,6.95,6936939927412,88
012170RD-S,Crab Hat Red S,6.95,6936939927405,59
012170RD-XS,Crab Hat Red XS,6.95,6936939927399,71
012180GRY-L,Donkey Hat Gray L,6.95,6936939927504,19
012180GRY-M,Donkey Hat Gray M,6.95,6936939927498,55
012180GRY-S,Donkey Hat Gray S,6.95,6936939927481,54
012180GRY-XS,Donkey Hat Gray XS,6.95,6936939927474,34
012190BN-L,Aviator Hat Brown L,0.00,,0
012190BN-M,Aviator Hat Brown M,0.00,,0
012190BN-S,Aviator Hat Brown S,0.00,,0
012190BN-XS,Aviator Hat Brown XS,0.00,,0
012210BN-L,Bear Hat Brown L,4.95,6936939920789,41
012210BN-M,Bear Hat Brown M,4.95,,42
012210BN-S,Bear Hat Brown S,4.95,,58
012210BN-XS,Bear Hat Brown XS,4.95,,48
012211PK-XS,Bear Hat Pink XS,4.95,,23
012220WT-L,Rooster Hat White L,4.95,,0
012220WT-M,Rooster Hat White M,4.95,6936939920659,14
012220WT-S,Rooster Hat White S,4.95,6936939920642,16
012220WT-XS,Rooster Hat White XS,4.95,6936939920635,8
012230GN-L,Elf Hat Green L,5.50,6936939930726,1
012230GN-M,Elf Hat Green M,5.50,6936939930719,0
012230GN-S,Elf Hat Green S,5.50,6936939930702,24
012230GN-XS,Elf Hat Green XS,5.50,6936939930696,0
012240BL-L,Furry Monster Hat Blue L,0.00,,0
012240BL-M,Furry Monster Hat Blue M,0.00,,0
012240BL-S,Furry Monster Hat Blue S,0.00,,0
012240BL-XS,Furry Monster Hat Blue XS,0.00,,0
021220BN,Burger Bed Brown,27.00,,0
021230PK,Burger Bed Pink,27.00,6936939929027,8
